PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
K193o,2r1r1k1/1p1n1pp1/pq5p/3p4/Pb1P1P1B/2N5/1P3QPP/4RRK1 w - - 0 23,c3d5 b4e1 f1e1 e8e1 f2e1 b6d4,1751,75,94,723,advantage kingsideAttack long middlegame,https://lichess.org/vAdEkjDD#45,
fFeZb,r1bq1rk1/p3bp2/2p5/3p1P2/6n1/P1NB3Q/1PP3PP/4RRK1 b - - 2 18,d8b6 g1h1 g4f2 f1f2,1356,77,91,2543,crushing defensiveMove middlegame short,https://lichess.org/B1g8EJhl/black#36,Scotch_Game Scotch_Game_Schmidt_Variation
JWE3I,r1r4k/2b2Qpp/p1P1B3/1p2q3/8/P2P3P/2P3P1/R4R1K w - - 3 25,e6c8 e5h2,1025,183,43,8,mate mateIn1 middlegame oneMove,https://lichess.org/4UPW0sUe#49,
NhRTf,7r/1R3pp1/2p1kq2/P1Pp4/7R/4P3/P4PPP/6K1 w - - 0 27,h4h8 f6a1 b7b1 a1b1,846,84,68,71,backRankMate endgame mate mateIn2 queenRookEndgame short,https://lichess.org/p5q9gobK#53,
YEtwo,6k1/2p2pp1/pp5p/2p5/Q1Pp4/3qrPPb/PP2PR1P/4R1K1 w - - 0 21,e2d3 e3e1 f2f1 e1f1,598,92,60,76,endgame hangingPiece kingsideAttack mate mateIn2 operaMate short,https://lichess.org/YlQHDVag#41,
3oZpO,3r1r1k/2R3pp/8/8/3pQ3/3P4/Pq3PPP/4R1K1 w - - 0 31,e4e5 b2f2 g1h1 f2f1 e1f1 f8f1,1157,78,47,127,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/qyYzyiOA#61,
nLf9Y,1r2r1k1/ppp1q1p1/2np1n2/4p1N1/4P3/2PPP2Q/PP4PP/R4RK1 b - - 0 20,g7g6 f1f6 e7f6 h3h7 g8f8 a1f1,1621,76,91,2962,crushing exposedKing long middlegame pin sacrifice,https://lichess.org/NLQEV64v/black#40,
zwJIG,3r2k1/1p2qpp1/2p4p/Q7/P1R5/4P1P1/1P3PK1/8 b - - 0 26,e7d6 c4d4 d6d4 e3d4,1331,75,86,1406,crushing endgame short,https://lichess.org/bFibCURC/black#52,
AEBKy,8/5p2/3kb3/1p5P/1Pp2KP1/p1P5/P7/8 b - - 0 51,f7f5 h5h6 e6g8 f4f5,2648,90,94,570,bishopEndgame crushing endgame short,https://lichess.org/gfcKoz0U/black#102,
4sQ1l,5r2/p5k1/2p5/2NpP1p1/2pP3p/2P1K2b/PP6/6R1 b - - 3 34,g5g4 c5e6 g7f7 e6f8,1060,82,69,97,crushing endgame fork short,https://lichess.org/fuyIFUb3/black#68,
rwgI0,3q2n1/1k3p2/pp1p1n2/P1pPpP1p/N1P1Pb2/1Q1B1K1P/1P6/8 b - - 1 32,b6b5 c4b5 d8a5 b5a6 b7c8 b3b7 c8d8 a6a7,2033,79,95,13959,advancedPawn crushing discoveredCheck doubleCheck middlegame veryLong,https://lichess.org/FPYo8xN6/black#64,
